time in ms,Temp in C
0.0,61.30793330998959
0.001,38.90720616116472
0.002,94.60376572510239
0.003,18.407144576874558
0.004,28.69993242306427
0.005,59.29629665063231
0.006,70.47545087350228
0.007,27.59683303904864
0.008,11.489684945307443
0.009000000000000001,73.598516431435
0.01,0.8903445875139027
0.011,1.1378029451644789
0.012,10.90214766200155
0.013000000000000001,18.783402573016026
0.014,72.37584103063075
0.015,95.14230244034046
0.016,52.20193955160969
0.017,67.17657626414969
0.018000000000000002,51.15807402848984
0.019,0.1099884912029947
0.02,72.90120036801507
0.021,58.81428738819967
0.022,86.59039894086594
0.023,15.096439939332784
0.024,36.74122121283161
0.025,95.71690840453323
0.026000000000000002,35.706514534982894
0.027,37.70921033375036
0.028,28.184951933155844
0.029,67.48859916150838
0.03,0.9603402250128235
0.031,79.26105648562711
0.032,10.796809434314515
0.033,1.5837014559471618
0.034,22.10507508548688
0.035,96.89303329549284
0.036000000000000004,29.123306430334917
0.037,22.821261752459986
0.038,41.64587428664821
0.039,85.81246420177395
0.04,77.52333587177745
0.041,3.0424619851997847
0.042,93.7514418940657
0.043000000000000003,46.869293445695824
0.044,49.27457756691192
0.045,26.054301394330402
0.046,33.961270730181305
0.047,62.76627302829877
0.048,72.45305628042897
0.049,56.64398359807126
0.05,7.8871511476858664
0.051000000000000004,81.81144386753044
0.052000000000000005,80.09316191406467
0.053,62.57349070660781
0.054,47.80475933546939
0.055,23.33656582251423
0.056,61.645692455140235
0.057,97.68694856459561
0.058,32.31095405636821
0.059000000000000004,91.76050867326278
0.06,11.895037597300606
0.061,78.85816832732534
0.062,84.67878611281914
0.063,23.90235348347378
0.064,41.21899760934539
0.065,36.92129694683561
0.066,1.7874564647601954
0.067,18.052083894261493
0.068,6.680358298699152
0.069,55.75955198443299
0.07,89.13775029810573
0.07100000000000001,30.59320549395914
0.07200000000000001,75.67828035022256
0.073,52.11161202881374
0.074,61.77197614698029
0.075,80.94507714791315
0.076,68.34477404814979
0.077,92.23052846420202
0.078,85.87105146227397
0.079,4.380285641187243
0.08,48.35973679387299
0.081,77.00498107715494
0.082,82.73618643782055
0.083,41.45394717070128
0.084,11.46489342342215
0.085,81.50259725305405
0.08600000000000001,21.59979922768881
0.08700000000000001,69.14716569968117
0.088,32.26669912576005
0.089,86.1260442203756
0.09,55.45123527250572
0.091,45.951149904348576
0.092,44.63485209180264
0.093,64.11424366886287
0.094,6.470427607390727
0.095,69.5493628213176
0.096,75.13028250229969
0.097,95.77768072504932
0.098,66.12925095919262
0.099,2.8947489156370576
0.1,92.92836541969443
0.101,86.25712910017306
0.10200000000000001,22.51943830495232
0.10300000000000001,87.43025745513525
0.10400000000000001,0.5520930904842736
0.105,81.12551750756595
0.106,94.03632354944835
0.107,56.74045569927518
0.108,79.193233654026
0.109,47.31236893938705
0.11,52.953666126606805
0.111,67.3632119113411
0.112,84.90403185266567
0.113,39.90862339999058
0.114,79.5932723703069
0.115,65.00722611912299
0.116,23.845697574921697
0.117,17.57865132081947
0.11800000000000001,57.06369293699608
0.11900000000000001,40.4404009474944
0.12,5.876355955910895
0.121,14.315230465442696
0.122,39.03970128057329
0.123,64.45383572250118
0.124,35.05428250791034
0.125,3.3149805318299808
0.126,37.49252786360107
0.127,45.0000812969929
0.128,14.379085407626846
0.129,0.6009308971372973
0.13,21.63979718735155
0.131,19.004779382783365
0.132,31.65290732467312
0.133,26.398675023296192
0.134,9.43525180051543
0.135,98.83936717013417
