,time in ms,Temp in C
0,0.0,44.08338799240919
1,0.001,21.747055915905023
2,0.002,73.82976555131961
3,0.003,28.561194966897286
4,0.004,76.35179377414438
5,0.005,88.45685455891923
6,0.006,46.717061095793234
7,0.007,45.49762107232134
8,0.008,48.185202112784566
9,0.009000000000000001,99.0188557892851
10,0.01,42.60090188922209
11,0.011,26.33495991177568
12,0.012,13.75598396316815
13,0.013000000000000001,71.64045542504529
14,0.014,12.207041114525074
15,0.015,87.41498583540792
16,0.016,43.45393824035595
17,0.017,28.96032251997218
18,0.018000000000000002,65.01598881430121
19,0.019,18.887973902366085
20,0.02,96.40849296129534
21,0.021,32.18009279583563
22,0.022,12.882684402165822
23,0.023,65.15890633833756
24,0.024,13.895131378390035
25,0.025,67.39549700869772
26,0.026000000000000002,34.7390582962148
27,0.027,31.565511836482486
28,0.028,77.58142940451836
29,0.029,48.33463225337869
30,0.03,86.95265262888911
31,0.031,68.16586824590455
32,0.032,91.50020233685493
33,0.033,9.84027053509633
34,0.034,42.28342489346771
35,0.035,93.94297319915069
36,0.036000000000000004,69.63286639244237
37,0.037,18.69644450040402
38,0.038,66.38925482487612
39,0.039,92.94211606075066
40,0.04,33.58548620894598
41,0.041,0.8926755731849756
42,0.042,97.64419031149266
43,0.043000000000000003,24.044705474234995
44,0.044,81.03055232798836
45,0.045,65.01694527245586
46,0.046,36.80805229747479
47,0.047,28.445949046874887
48,0.048,40.38240768104667
49,0.049,75.87875774605763
50,0.05,11.425162637383913
51,0.051000000000000004,19.057872843023716
52,0.052000000000000005,15.735244650242663
53,0.053,90.75513318489553
54,0.054,56.585051208138935
55,0.055,97.4168005719748
56,0.056,66.24510463867416
57,0.057,0.22600320120005346
58,0.058,39.05770408974847
59,0.059000000000000004,94.30961873189631
60,0.06,41.66957895043073
61,0.061,82.45005716305303
62,0.062,10.323993790277065
63,0.063,13.721070854937645
64,0.064,90.58072909283266
65,0.065,30.906594153611156
66,0.066,17.171395352308217
67,0.067,25.840395848996643
68,0.068,81.9575228490658
69,0.069,33.287975902233114
70,0.07,36.05521476503378
71,0.07100000000000001,33.400751641609396
72,0.07200000000000001,1.0692678625826346
73,0.073,61.58446240202815
74,0.074,39.10888473652584
75,0.075,20.522790069133222
76,0.076,96.54771693246201
77,0.077,92.48476181114683
78,0.078,80.67895400539989
79,0.079,44.55660389787367
80,0.08,59.01544299386472
81,0.081,60.287658238912435
82,0.082,52.75055262712933
83,0.083,60.10143764037154
84,0.084,98.16553671486714
85,0.085,63.221789112828965
86,0.08600000000000001,77.95606719908643
87,0.08700000000000001,8.591310538978625
88,0.088,20.630518189131596
89,0.089,30.064266629176394
90,0.09,63.21001070336714
91,0.091,51.33338207593906
92,0.092,96.88885164754213
93,0.093,61.266528255682964
94,0.094,87.87315167575504
95,0.095,81.78918446279759
96,0.096,96.8876937292656
97,0.097,82.69295556011048
98,0.098,92.90570210206528
99,0.099,75.5692420445556
100,0.1,9.196039292960446
101,0.101,2.8102909877646076
102,0.10200000000000001,76.08389596486134
103,0.10300000000000001,20.684552751849104
